University College,Major,,,,Year,Classification,Weight,Course Code-Sec.(-Lab),Credit,Course Title,Target,,,,Instructor,Time,Room,Ref,Exchange
College of Business,Business Administration,,,,1,Major Elective,2000,BIZ2126-01-00   ,3,PRINCIPLES OF BUSINESS FOR INNOVATION AND ENTREPRENEURSHIP ,,,,,Jung Dongil,"Thu2,3,4",Realtime online lecture,"javascript:OpenList5(""H1"",""20202"",""0202"");, ⓒ⑭⒞",X
College of Business,Business Administration,,,,2,Major Elective,2000,BIZ2003-02-00   ,1,UNDERGRADUATE TUTORIAL SEMINAR ,,,,,KIM JUNGWOON,Mon5,BizHB223,"javascript:OpenList5(""H1"",""20202"",""0202"");, ⑦⒞",X
College of Business,Business Administration,,,,2,Major Elective,2000,BIZ2003-03-00   ,1,UNDERGRADUATE TUTORIAL SEMINAR ,,,,,KIM YEONGWOOK,Mon4,BizHB223,"javascript:OpenList5(""H1"",""20202"",""0202"");, ⑦⒞",X
College of Business,Business Administration,,,,2,Major Elective,2000,BIZ2003-04-00   ,1,UNDERGRADUATE TUTORIAL SEMINAR ,,,,,PARK JU HYOUNG,Wed4,BizHB223,"javascript:OpenList5(""H1"",""20202"",""0202"");, ⑦⒞",X
College of Business,Business Administration,,,,2,Major Elective,2000,BIZ2003-05-00   ,1,UNDERGRADUATE TUTORIAL SEMINAR ,,,,,PARK JIYOUNG,Tue3,Pre-recorded lecture,"javascript:OpenList5(""H1"",""20202"",""0202"");, ⑦⒞",X
College of Business,Business Administration,,,,2,Major Elective,2000,BIZ2125-01-00   ,3,NEW TRENDS IN BUSINESS ENVIORNMENT: DIGITAL REVOLUTION & SOCIAL CHANGE ,,,,,Lee seungyong,"Tue7,8,9",BizHB204,"javascript:OpenList5(""H1"",""20202"",""0202"");, 16⑦⒞",X
College of Business,Business Administration,,,,"3,4",Major Requisite,3000,BIZ3108-01-00   ,3,MANAGEMENT ACCOUNTING ,,,,,"Sohn, Sungkyu","Tue5,6,Thu4",BizH102,"javascript:OpenList5(""H1"",""20202"",""0202"");, 16②⒝",O
College of Business,Business Administration,,,,"3,4",Major Requisite,3000,BIZ3108-02-00   ,3,MANAGEMENT ACCOUNTING ,,,,,Lee Kyung Tae,"Tue7,Thu8,9",Realtime online lecture,"javascript:OpenList5(""H1"",""20202"",""0202"");, ③⒜",X
College of Business,Business Administration,,,,"3,4",Major Requisite,3000,BIZ3108-03-00   ,3,MANAGEMENT ACCOUNTING ,,,,,Lee Kyung Tae,"Tue8,9,Thu7",Realtime online lecture,"javascript:OpenList5(""H1"",""20202"",""0202"");, ⒜",X
College of Business,Business Administration,,,,"3,4",Major Requisite,3000,BIZ3108-04-00   ,3,MANAGEMENT ACCOUNTING ,,,,,Moon Doocheol,"Mon1,2/Wed2",Realtime online lecture/BizHB202,"javascript:OpenList5(""H1"",""20202"",""0202"");, 16②⒝",O
College of Business,Business Administration,,,,"3,4",Major Requisite,3000,BIZ3108-05-00   ,3,MANAGEMENT ACCOUNTING ,,,,,Dae-Hee Yoon,"Tue8,9,Thu7",Realtime online lecture,"javascript:OpenList5(""H1"",""20202"",""0202"");, ②③⒝",X
College of Business,Business Administration,,,,"3,4",Major Requisite,3000,BIZ3147-01-00   ,3,STRATEGIC MANAGEMENT ,,,,,"KWON, Ku-Hyuk","Tue5,6/Thu4",BizH101/Pre-recorded lecture,"javascript:OpenList5(""H1"",""20202"",""0202"");, 16③⒜",X
College of Business,Business Administration,,,,"3,4",Major Requisite,3000,BIZ3147-02-00   ,3,STRATEGIC MANAGEMENT ,,,,,PARK KYUNGMIN,"Mon5,6/Wed6",BizHB203/Pre-recorded lecture,"javascript:OpenList5(""H1"",""20202"",""0202"");, 16③⒜",X
College of Business,Business Administration,,,,"3,4",Major Requisite,3000,BIZ3147-03-00   ,3,STRATEGIC MANAGEMENT ,,,,,PARK KYUNGMIN,"Mon7,8/Wed8",BizHB203/Pre-recorded lecture,"javascript:OpenList5(""H1"",""20202"",""0202"");, 16⒜",X
College of Business,Business Administration,,,,"3,4",Major Requisite,3000,BIZ3147-04-00   ,3,STRATEGIC MANAGEMENT ,,,,,Kim Ji-hyun,"Mon3,4/Wed4",Realtime online lecture/BizHB201,"javascript:OpenList5(""H1"",""20202"",""0202"");, 16②⒝",O
College of Business,Business Administration,,,,"3,4",Major Requisite,3000,BIZ3147-05-00   ,3,STRATEGIC MANAGEMENT ,,,,,Kim Bo Kyung,"Mon3,4,Wed4",BizH104,"javascript:OpenList5(""H1"",""20202"",""0202"");, 16②③⒝",O
College of Business,Business Administration,,,,"3,4",Major Requisite,3000,BIZ3147-06-00   ,3,STRATEGIC MANAGEMENT ,,,,,Chun Kyungmi,"Mon9,10,Wed10",Realtime online lecture/Pre-recorded lecture,"javascript:OpenList5(""H1"",""20202"",""0202"");, ⒜",X
College of Business,Business Administration,,,,"3,4",Major Requisite,3000,BIZ3189-01-00   ,3,MANAGEMENT INFORMATION SYSTEMS ,,,,,"LEE, HO GEUN","Mon5,6,Wed6",BizH102,"javascript:OpenList5(""H1"",""20202"",""0202"");, 16③⑤⒜",X
College of Business,Business Administration,,,,"3,4",Major Requisite,3000,BIZ3189-02-00   ,3,MANAGEMENT INFORMATION SYSTEMS ,,,,,"Suh, Kil Soo","Tue2,3/Thu1",BizHB101/Pre-recorded lecture,"javascript:OpenList5(""H1"",""20202"",""0202"");, 16③⑤⒜",X
College of Business,Business Administration,,,,"3,4",Major Requisite,3000,BIZ3189-03-00   ,3,MANAGEMENT INFORMATION SYSTEMS ,,,,,IM IL,"Mon3,4/Wed4",Pre-recorded lecture/Realtime online lecture,"javascript:OpenList5(""H1"",""20202"",""0202"");, ③⑤⒜",X
College of Business,Business Administration,,,,"3,4",Major Requisite,3000,BIZ3189-04-00   ,3,MANAGEMENT INFORMATION SYSTEMS ,,,,,IM IL,"Mon7,8/Wed8",Pre-recorded lecture/Realtime online lecture,"javascript:OpenList5(""H1"",""20202"",""0202"");, ⒜",X
College of Business,Business Administration,,,,"3,4",Major Requisite,3000,BIZ3189-05-00   ,3,MANAGEMENT INFORMATION SYSTEMS ,,,,,Kim Seung Hyun,"Tue5,6,Thu4",Realtime online lecture,"javascript:OpenList5(""H1"",""20202"",""0202"");, ②⒝",O
College of Business,Business Administration,,,,"3,4",Major Elective,2000,BIZ2113-01-00   ,3,BUSINESS MATHEMATICS I ,,,,,Soh Seung Bum,"Mon7,8/Wed8",Realtime online lecture/BizHB202,"javascript:OpenList5(""H1"",""20202"",""0202"");, 16⑦⒝",X
College of Business,Business Administration,,,,"3,4",Major Elective,3000,BIZ3105-01-00   ,3,CORPORATION LAW ,,,,,Moon Sangil,"Fri1,2,3",Pre-recorded lecture,"javascript:OpenList5(""H1"",""20202"",""0202"");, ⑦⒝",X
College of Business,Business Administration,,,,"3,4",Major Elective,3000,BIZ3105-02-00   ,3,CORPORATION LAW ,,,,,Kim Udon,"Wed1,2,3",Pre-recorded lecture,"javascript:OpenList5(""H1"",""20202"",""0202"");, ⑦⒝",X
College of Business,Business Administration,,,,"3,4",Major Elective,3000,BIZ3107-01-00   ,3,CORPORATE TAX LAW ,,,,,이승원,"Fri1,2,3",BizHB202,"javascript:OpenList5(""H1"",""20202"",""0202"");, 16⑦⒝",X
College of Business,Business Administration,,,,"3,4",Major Elective,3000,BIZ3109-01-00   ,3,INTERMEDIATE ACCOUNTING(1) ,,,,,KIM SOOIN,"Tue1/Thu2,3",BizHB201/Pre-recorded lecture,"javascript:OpenList5(""H1"",""20202"",""0202"");, 16⑦⒝",X
College of Business,Business Administration,,,,"3,4",Major Elective,3000,BIZ3109-02-00   ,3,INTERMEDIATE ACCOUNTING(1) ,,,,,KIM SOOIN,"Tue4/Thu5,6",BizHB202/Pre-recorded lecture,"javascript:OpenList5(""H1"",""20202"",""0202"");, 16⑦⒝",X
College of Business,Business Administration,,,,"3,4",Major Elective,3000,BIZ3110-01-00   ,3,COST ACCOUNTING ,,,,,Moon Doocheol,"Mon3,4/Wed4",Realtime online lecture/BizHB202,"javascript:OpenList5(""H1"",""20202"",""0202"");, 16②⑦⒝",O
College of Business,Business Administration,,,,"3,4",Major Elective,3000,BIZ3119-01-00   ,3,CORPORATE FINANCE ,,,,,"Shin, Jhinyoung","Mon7,8/Wed8",Pre-recorded lecture/BizH103,"javascript:OpenList5(""H1"",""20202"",""0202"");, 16⑦⒝",X
College of Business,Business Administration,,,,"3,4",Major Elective,3000,BIZ3119-02-00   ,3,CORPORATE FINANCE ,,,,,Lee Jiyoon,"Tue7/Thu8,9",Realtime online lecture/BizHB205,"javascript:OpenList5(""H1"",""20202"",""0202"");, 1617②⑦⒝",O
College of Business,Business Administration,,,,"3,4",Major Elective,3000,BIZ3120-01-00   ,3,INVESTMENT THEORY ,,,,,KU Bon Il,"Tue2,3/Thu1",BizH101/Pre-recorded lecture,"javascript:OpenList5(""H1"",""20202"",""0202"");, 16⑦⒝",X
College of Business,Business Administration,,,,"3,4",Major Elective,3000,BIZ3120-02-00   ,3,INVESTMENT THEORY ,,,,,Hahn Jaehoon,"Mon8,9,10",BizHB101,"javascript:OpenList5(""H1"",""20202"",""0202"");, 16②⑦⒝",O
College of Business,Business Administration,,,,"3,4",Major Elective,3000,BIZ3125-01-00   ,3,INSURANCE COMPANY OPERATIONS ,,,,,"Kim, Jeong Dong","Mon1,2,Wed2",BizH101,"javascript:OpenList5(""H1"",""20202"",""0202"");, 16⑦⒝",X
College of Business,Business Administration,,,,"3,4",Major Elective,3000,BIZ3125-02-00   ,3,INSURANCE COMPANY OPERATIONS ,,,,,"Kim, Jeong Dong","Mon5,6,Wed6",BizH101,"javascript:OpenList5(""H1"",""20202"",""0202"");, 16⑦⒝",X
College of Business,Business Administration,,,,"3,4",Major Elective,3000,BIZ3126-01-00   ,3,CONSUMER BEHAVIOR ,,,,,PARK SE-BUM/JEONG NAN HEE,"Mon3,4,Wed4",Realtime online lecture,"javascript:OpenList5(""H1"",""20202"",""0202"");, ⑦⒝",X
College of Business,Business Administration,,,,"3,4",Major Elective,3000,BIZ3126-02-00   ,3,CONSUMER BEHAVIOR ,,,,,Kim Byung Kyu,"Mon1,2,Wed2",Realtime online lecture,"javascript:OpenList5(""H1"",""20202"",""0202"");, ⑦⒝",X
College of Business,Business Administration,,,,"3,4",Major Elective,3000,BIZ3134-01-00   ,3,INTERNATIONAL MANAGEMENT ,,,,,Soonkyoo Choe,"Mon3,4/Wed4",BizH101/Realtime online lecture,"javascript:OpenList5(""H1"",""20202"",""0202"");, 16①②⑦⒝",O
College of Business,Business Administration,,,,"3,4",Major Elective,3000,BIZ3134-02-00   ,3,INTERNATIONAL MANAGEMENT ,,,,,Pak Yong Suhk,"Mon3,4",Realtime online lecture,"javascript:OpenList5(""H1"",""20202"",""0202"");, ②⑦⒝",O
College of Business,Business Administration,,,,"3,4",Major Elective,3000,BIZ3134-03-00   ,3,INTERNATIONAL MANAGEMENT ,,,,,Kwak Jooyoung,"Tue2,3",Realtime online lecture,"javascript:OpenList5(""H1"",""20202"",""0202"");, ②⑦⒝",O
College of Business,Business Administration,,,,"3,4",Major Elective,3000,BIZ3134-04-00   ,3,INTERNATIONAL MANAGEMENT ,,,,,Soonkyoo Choe,"Mon7,8/Wed8",BizH101/Realtime online lecture,"javascript:OpenList5(""H1"",""20202"",""0202"");, ②⑫⒝",O
College of Business,Business Administration,,,,"3,4",Major Elective,3000,BIZ3135-01-00   ,3,INTERNATIONAL MAKETING ,,,,,"PARK, YOUNG RYEOL","Tue7,Thu8,9",BizH104,"javascript:OpenList5(""H1"",""20202"",""0202"");, ②⑦⒝",O
College of Business,Business Administration,,,,"3,4",Major Elective,3000,BIZ3136-01-00   ,3,HUMAN RESOURCE MANAGEMENT ,,,,,Lee Jiman,"Mon3,4/Wed4",Realtime online lecture/BizHB101,"javascript:OpenList5(""H1"",""20202"",""0202"");, 16⑦⒝",X
College of Business,Business Administration,,,,"3,4",Major Elective,3000,BIZ3136-02-00   ,3,HUMAN RESOURCE MANAGEMENT ,,,,,Hyuntak Roh,"Wed5,Fri5,6",Realtime online lecture,"javascript:OpenList5(""H1"",""20202"",""0202"");, ⑦⒝",X
College of Business,Business Administration,,,,"3,4",Major Elective,3000,BIZ3136-03-00   ,3,HUMAN RESOURCE MANAGEMENT ,,,,,Ryou Yeejeong,"Tue4/Thu5,6",BizHB205/Realtime online lecture,"javascript:OpenList5(""H1"",""20202"",""0202"");, 16⑦⒝",X
College of Business,Business Administration,,,,"3,4",Major Elective,3000,BIZ3148-01-00   ,3,LABOR-MANAGEMENT RELATIONS ,,,,,Lee Jiman,"Mon5,6/Wed6",Realtime online lecture/BizHB101,"javascript:OpenList5(""H1"",""20202"",""0202"");, 16⑦⒝",X
College of Business,Business Administration,,,,"3,4",Major Elective,3000,BIZ3155-01-00   ,3,INTERMEDIATE ACCOUNTING(2) ,,,,,JEE EUN SANG,"Fri7,8,9",Pre-recorded lecture,"javascript:OpenList5(""H1"",""20202"",""0202"");, ⑦⒝",X
College of Business,Business Administration,,,,"3,4",Major Elective,3000,BIZ3158-01-00   ,3,BUSINESS COMMUNICATION ,,,,,Lee Tae-hee,"Tue7,Thu8,9",Realtime online lecture,"javascript:OpenList5(""H1"",""20202"",""0202"");, ②⑦⒝",O
College of Business,Business Administration,,,,"3,4",Major Elective,3000,BIZ3162-01-00   ,3,MONEY AND BANKING ,,,,,"KANG, KEE YOUN","Tue5,6,Thu4",Realtime online lecture,"javascript:OpenList5(""H1"",""20202"",""0202"");, ②⑦⒝",O
College of Business,Business Administration,,,,"3,4",Major Elective,3000,BIZ3175-01-00   ,3,CORPORATION AND ITS LEGAL ENVIRONMENT ,,,,,Kim Hyungjin,"Wed1,2,3",Realtime online lecture,"javascript:OpenList5(""H1"",""20202"",""0202"");, ②⑦⒝",O
College of Business,Business Administration,,,,"3,4",Major Elective,3000,BIZ3197-01-00   ,3,INTRODUCTION TO BUSINESS ANALYTICS ,,,,,Bang Youngsok,"Tue5,6,Thu4",BizHB208,"javascript:OpenList5(""H1"",""20202"",""0202"");, 16②⑦⒝",O
College of Business,Business Administration,,,,"3,4",Major Elective,3000,BIZ3198-01-00   ,3,INTRODUCTION TO BUSINESS PROGRAMMING ,,,,,Choi HanByeol,"Wed1,Fri1,2",Pre-recorded lecture,"javascript:OpenList5(""H1"",""20202"",""0202"");, ⑦⒝",X
College of Business,Business Administration,,,,"3,4",Major Elective,3000,BIZ3198-02-00   ,3,INTRODUCTION TO BUSINESS PROGRAMMING ,,,,,Choi HanByeol,"Wed3,Fri3,4",Pre-recorded lecture,"javascript:OpenList5(""H1"",""20202"",""0202"");, ⑦⒝",X
College of Business,Business Administration,,,,"3,4",Major Elective,4000,BIZ4115-01-00   ,3,AUDITING ,,,,,Lee Ho Young,"Thu6,7,8",BizHB204,"javascript:OpenList5(""H1"",""20202"",""0202"");, ⑦⒝",X
College of Business,Business Administration,,,,"3,4",Major Elective,4000,BIZ4116-01-00   ,3,ADVANCED ACCOUNTING ,,,,,CHOI BYUNGCHUL,"Mon9,10/Wed10",BizHB204/Pre-recorded lecture,"javascript:OpenList5(""H1"",""20202"",""0202"");, 16⑦⒝",X
College of Business,Business Administration,,,,"3,4",Major Elective,4000,BIZ4122-01-00   ,3,FUTURES AND OPTIONS ,,,,,Park Dojoon,"Tue5,6,Thu4",Realtime online lecture,"javascript:OpenList5(""H1"",""20202"",""0202"");, ⑦⒝",X
College of Business,Business Administration,,,,"3,4",Major Elective,4000,BIZ4123-01-00   ,3,BUSINESS ANALYSIS AND VALUATION ,,,,,"Chang, Jinho","Tue2,3",Realtime online lecture,"javascript:OpenList5(""H1"",""20202"",""0202"");, ⑦⒝",X
College of Business,Business Administration,,,,"3,4",Major Elective,4000,BIZ4129-01-00   ,3,RELATIONSHIP MARKETING ,,,,,Lee Dongjin,"Mon1,2,Wed2",BizH104,"javascript:OpenList5(""H1"",""20202"",""0202"");, ⑦⒝",X
College of Business,Business Administration,,,,"3,4",Major Elective,4000,BIZ4139-01-00   ,3,DATA-BASED DECISION MAKING ,,,,,Kim Hak Jin,"Mon7,8,Wed8",Realtime online lecture,"javascript:OpenList5(""H1"",""20202"",""0202"");, ⑦⒝",X
College of Business,Business Administration,,,,"3,4",Major Elective,4000,BIZ4147-01-00   ,3,DECISION MAKING UNDER UNCERTAINTY ,,,,,Kim Seongmoon/YANG JI HYE,"Mon1,2,Wed2",Pre-recorded lecture/Realtime online lecture,"javascript:OpenList5(""H1"",""20202"",""0202"");, ⑦⒝",X
College of Business,Business Administration,,,,"3,4",Major Elective,4000,BIZ4148-01-00   ,3,MANAGING IN EMERGING MARKETS ,,,,,Pak Yong Suhk,"Mon1,2",Realtime online lecture,"javascript:OpenList5(""H1"",""20202"",""0202"");, ②⑦⒝",O
College of Business,Business Administration,,,,"3,4",Major Elective,4000,BIZ4150-01-00   ,3,PROJECT MANAGEMENT ,,,,,Im Kun Shin,"Mon7,8,Wed8",BizHB205,"javascript:OpenList5(""H1"",""20202"",""0202"");, ⑦⒝",X
College of Business,Business Administration,,,,"3,4",Major Elective,4000,BIZ4151-01-00   ,3,M&A AND RESTRUCTURING ,,,,,"Chang, Jinho","Tue5,6",Realtime online lecture,"javascript:OpenList5(""H1"",""20202"",""0202"");, ⑦⒝",X
College of Business,Business Administration,,,,"3,4",Major Elective,4000,BIZ4157-01-00   ,3,YSB LEADERS FORUM ,,,,,"Suh, Kil Soo/YANG JUNG MI","Tue8,9,10",BizH103,"javascript:OpenList5(""H1"",""20202"",""0202"");, ⑦⒝",X
