University College,Major,,,,Year,Classification,Weight,Course Code-Sec.(-Lab),Credit,Course Title,Target,,,,Instructor,Time,Room,Ref,Exchange
College of Medicine,Medicine,,,,,Major Elective,,MED3340-07-00   ,1,Introduction to Forensic Medicine 2 ,,,,,Jong-Pil Park,,,"javascript:OpenList5(""H7"",""20202"",""1101"");, ♣",
College of Medicine,Medicine,,,,,Major Elective,,MED3340-08-00   ,1,Biocompatibility Methodology ,,,,,JONG CHUL PARK,,,"javascript:OpenList5(""H7"",""20202"",""1101"");, ♣",
College of Medicine,Medicine,,,,,Major Elective,,MED3340-09-00   ,1,clinical reasoning and decision making based on schema ,,,,,JIN YOUNG CHOI,,,"javascript:OpenList5(""H7"",""20202"",""1101"");, ♣",
College of Medicine,Medicine,,,,,Major Elective,,MED3340-10-00   ,1,Nutrition and Medicine ,,,,,kyung sik kim,,,"javascript:OpenList5(""H7"",""20202"",""1101"");, ♣",
College of Medicine,Medicine,,,,,Major Elective,,MED3340-11-00   ,1,Introduction of Clinical Geriatrics ,,,,,CHANG OH KIM,,,"javascript:OpenList5(""H7"",""20202"",""1101"");, ♣",
College of Medicine,Medicine,,,,,Major Elective,,MED3340-12-00   ,1,Tissue Engineering ,,,,,Hak-Joon Sung,,,"javascript:OpenList5(""H7"",""20202"",""1101"");, ♣",
College of Medicine,Medicine,,,,,Major Elective,,MED3340-13-00   ,1,Patient Safety ,,,,,So Yoon Kim,,,"javascript:OpenList5(""H7"",""20202"",""1101"");, ♣",
College of Medicine,Medicine,,,,,Major Requisite,,MED7185-01-00   ,1,Research Mentoring ,,,,,yong min Huh,,,"javascript:OpenList5(""H7"",""20202"",""1101"");, ♣ⓗ",
College of Medicine,Medicine,,,,,Major Requisite,,MED7185-02-00   ,1,Research Mentoring ,,,,,yong min Huh,,,"javascript:OpenList5(""H7"",""20202"",""1101"");, ♣ⓗ",
College of Medicine,Medicine,,,,,Major Requisite,,MED7185-04-00   ,1,Research Mentoring ,,,,,yong min Huh,,,"javascript:OpenList5(""H7"",""20202"",""1101"");, ♣ⓗ",
College of Medicine,Medicine,,,,,Major Requisite,,MED7185-05-00   ,1,Research Mentoring ,,,,,yong min Huh,,,"javascript:OpenList5(""H7"",""20202"",""1101"");, ♣ⓗ",
College of Medicine,Medicine,,,,,Major Requisite,,MED7185-06-00   ,1,Research Mentoring ,,,,,yong min Huh,,,"javascript:OpenList5(""H7"",""20202"",""1101"");, ♣ⓗ",
College of Medicine,Medicine,,,,,Major Requisite,,MED7185-07-00   ,1,Research Mentoring ,,,,,yong min Huh,,,"javascript:OpenList5(""H7"",""20202"",""1101"");, ♣ⓗ",
College of Medicine,Medicine,,,,,Major Requisite,,MED7185-08-00   ,1,Research Mentoring ,,,,,yong min Huh,,,"javascript:OpenList5(""H7"",""20202"",""1101"");, ♣ⓗ",
College of Medicine,Medicine,,,,,Major Requisite,,MED7185-09-00   ,1,Research Mentoring ,,,,,yong min Huh,,,"javascript:OpenList5(""H7"",""20202"",""1101"");, ♣ⓗ",
College of Medicine,Medicine,,,,,Major Requisite,,MED7185-11-00   ,1,Research Mentoring ,,,,,yong min Huh,,,"javascript:OpenList5(""H7"",""20202"",""1101"");, ♣ⓗ",
College of Medicine,Medicine,,,,,Major Requisite,,MED7185-12-00   ,1,Research Mentoring ,,,,,yong min Huh,,,"javascript:OpenList5(""H7"",""20202"",""1101"");, ♣ⓗ",
College of Medicine,Medicine,,,,,Major Requisite,,MED7185-13-00   ,1,Research Mentoring ,,,,,yong min Huh,,,"javascript:OpenList5(""H7"",""20202"",""1101"");, ♣ⓗ",
College of Medicine,Medicine,,,,,Major Requisite,,MED7185-14-00   ,1,Research Mentoring ,,,,,yong min Huh,,,"javascript:OpenList5(""H7"",""20202"",""1101"");, ♣ⓗ",
College of Medicine,Medicine,,,,,Major Requisite,,MED7185-16-00   ,1,Research Mentoring ,,,,,yong min Huh,,,"javascript:OpenList5(""H7"",""20202"",""1101"");, ♣ⓗ",
College of Medicine,Medicine,,,,,Major Requisite,,MED7185-17-00   ,1,Research Mentoring ,,,,,yong min Huh,,,"javascript:OpenList5(""H7"",""20202"",""1101"");, ♣ⓗ",
College of Medicine,Medicine,,,,,Major Requisite,,MED7185-18-00   ,1,Research Mentoring ,,,,,yong min Huh,,,"javascript:OpenList5(""H7"",""20202"",""1101"");, ♣ⓗ",
College of Medicine,Medicine,,,,,Major Requisite,,MED7185-19-00   ,1,Research Mentoring ,,,,,yong min Huh,,,"javascript:OpenList5(""H7"",""20202"",""1101"");, ♣ⓗ",
College of Medicine,Medicine,,,,,Major Requisite,,MED7185-20-00   ,1,Research Mentoring ,,,,,yong min Huh,,,"javascript:OpenList5(""H7"",""20202"",""1101"");, ♣ⓗ",
College of Medicine,Medicine,,,,,Major Requisite,,MED7185-21-00   ,1,Research Mentoring ,,,,,yong min Huh,,,"javascript:OpenList5(""H7"",""20202"",""1101"");, ♣ⓗ",
College of Medicine,Medicine,,,,,Major Requisite,,MED7185-22-00   ,1,Research Mentoring ,,,,,yong min Huh,,,"javascript:OpenList5(""H7"",""20202"",""1101"");, ♣ⓗ",
College of Medicine,Medicine,,,,,Major Requisite,,MED7185-23-00   ,1,Research Mentoring ,,,,,yong min Huh,,,"javascript:OpenList5(""H7"",""20202"",""1101"");, ♣ⓗ",
College of Medicine,Medicine,,,,,Major Requisite,,MED7185-24-00   ,1,Research Mentoring ,,,,,yong min Huh,,,"javascript:OpenList5(""H7"",""20202"",""1101"");, ♣ⓗ",
College of Medicine,Medicine,,,,,Major Requisite,,MED7185-25-00   ,1,Research Mentoring ,,,,,yong min Huh,,,"javascript:OpenList5(""H7"",""20202"",""1101"");, ♣ⓗ",
College of Medicine,Medicine,,,,,Major Requisite,,MED7185-26-00   ,1,Research Mentoring ,,,,,yong min Huh,,,"javascript:OpenList5(""H7"",""20202"",""1101"");, ♣ⓗ",
College of Medicine,Medicine,,,,,Major Requisite,,MED7185-27-00   ,1,Research Mentoring ,,,,,yong min Huh,,,"javascript:OpenList5(""H7"",""20202"",""1101"");, ♣ⓗ",
College of Medicine,Medicine,,,,,Major Requisite,,MED7185-28-00   ,1,Research Mentoring ,,,,,yong min Huh,,,"javascript:OpenList5(""H7"",""20202"",""1101"");, ♣ⓗ",
College of Medicine,Medicine,,,,,Major Requisite,,MED7185-29-00   ,1,Research Mentoring ,,,,,yong min Huh,,,"javascript:OpenList5(""H7"",""20202"",""1101"");, ♣ⓗ",
College of Medicine,Medicine,,,,,Major Requisite,,MED7185-30-00   ,1,Research Mentoring ,,,,,yong min Huh,,,"javascript:OpenList5(""H7"",""20202"",""1101"");, ♣ⓗ",
College of Medicine,Medicine,,,,,Major Requisite,,MED7185-31-00   ,1,Research Mentoring ,,,,,yong min Huh,,,"javascript:OpenList5(""H7"",""20202"",""1101"");, ♣ⓗ",
College of Medicine,Medicine,,,,,Major Requisite,,MED7185-32-00   ,1,Research Mentoring ,,,,,yong min Huh,,,"javascript:OpenList5(""H7"",""20202"",""1101"");, ♣ⓗ",
College of Medicine,Medicine,,,,,Major Requisite,,MED7185-33-00   ,1,Research Mentoring ,,,,,yong min Huh,,,"javascript:OpenList5(""H7"",""20202"",""1101"");, ♣ⓗ",
College of Medicine,Medicine,,,,,Major Requisite,,MED7185-34-00   ,1,Research Mentoring ,,,,,yong min Huh,,,"javascript:OpenList5(""H7"",""20202"",""1101"");, ♣ⓗ",
College of Medicine,Medicine,,,,,Major Requisite,,MED7185-35-00   ,1,Research Mentoring ,,,,,yong min Huh,,,"javascript:OpenList5(""H7"",""20202"",""1101"");, ♣ⓗ",
College of Medicine,Medicine,,,,,Major Requisite,,MED7185-36-00   ,1,Research Mentoring ,,,,,yong min Huh,,,"javascript:OpenList5(""H7"",""20202"",""1101"");, ♣ⓗ",
College of Medicine,Medicine,,,,,Major Requisite,,MED7185-37-00   ,1,Research Mentoring ,,,,,yong min Huh,,,"javascript:OpenList5(""H7"",""20202"",""1101"");, ♣ⓗ",
College of Medicine,Medicine,,,,,Major Requisite,,MED7185-38-00   ,1,Research Mentoring ,,,,,yong min Huh,,,"javascript:OpenList5(""H7"",""20202"",""1101"");, ♣ⓗ",
College of Medicine,Medicine,,,,,Major Requisite,,MED7185-39-00   ,1,Research Mentoring ,,,,,yong min Huh,,,"javascript:OpenList5(""H7"",""20202"",""1101"");, ♣ⓗ",
College of Medicine,Medicine,,,,,Major Requisite,,MED7185-40-00   ,1,Research Mentoring ,,,,,yong min Huh,,,"javascript:OpenList5(""H7"",""20202"",""1101"");, ♣ⓗ",
College of Medicine,Medicine,,,,,Major Requisite,,MED7185-41-00   ,1,Research Mentoring ,,,,,yong min Huh,,,"javascript:OpenList5(""H7"",""20202"",""1101"");, ♣ⓗ",
College of Medicine,Medicine,,,,,Major Requisite,,MED7185-42-00   ,1,Research Mentoring ,,,,,yong min Huh,,,"javascript:OpenList5(""H7"",""20202"",""1101"");, ♣ⓗ",
College of Medicine,Medicine,,,,,Major Requisite,,MED7185-43-00   ,1,Research Mentoring ,,,,,yong min Huh,,,"javascript:OpenList5(""H7"",""20202"",""1101"");, ♣ⓗ",
College of Medicine,Medicine,,,,,Major Requisite,,MED7185-44-00   ,1,Research Mentoring ,,,,,yong min Huh,,,"javascript:OpenList5(""H7"",""20202"",""1101"");, ♣ⓗ",
College of Medicine,Medicine,,,,,Major Requisite,,MED7185-45-00   ,1,Research Mentoring ,,,,,yong min Huh,,,"javascript:OpenList5(""H7"",""20202"",""1101"");, ♣ⓗ",
College of Medicine,Medicine,,,,,Major Requisite,,MED7185-46-00   ,1,Research Mentoring ,,,,,yong min Huh,,,"javascript:OpenList5(""H7"",""20202"",""1101"");, ♣ⓗ",
College of Medicine,Medicine,,,,,Major Requisite,,MED7185-47-00   ,1,Research Mentoring ,,,,,yong min Huh,,,"javascript:OpenList5(""H7"",""20202"",""1101"");, ♣ⓗ",
College of Medicine,Medicine,,,,,Major Requisite,,MED7185-48-00   ,1,Research Mentoring ,,,,,yong min Huh,,,"javascript:OpenList5(""H7"",""20202"",""1101"");, ♣ⓗ",
College of Medicine,Medicine,,,,,Major Requisite,,MED7185-49-00   ,1,Research Mentoring ,,,,,yong min Huh,,,"javascript:OpenList5(""H7"",""20202"",""1101"");, ♣ⓗ",
College of Medicine,Medicine,,,,,Major Requisite,,MED7185-50-00   ,1,Research Mentoring ,,,,,yong min Huh,,,"javascript:OpenList5(""H7"",""20202"",""1101"");, ♣ⓗ",
College of Medicine,Medicine,,,,,Major Requisite,,MED7185-51-00   ,1,Research Mentoring ,,,,,yong min Huh,,,"javascript:OpenList5(""H7"",""20202"",""1101"");, ♣ⓗ",
College of Medicine,Medicine,,,,,Major Requisite,,MED7185-52-00   ,1,Research Mentoring ,,,,,yong min Huh,,,"javascript:OpenList5(""H7"",""20202"",""1101"");, ♣ⓗ",
College of Medicine,Medicine,,,,,Major Requisite,,MED7185-53-00   ,1,Research Mentoring ,,,,,yong min Huh,,,"javascript:OpenList5(""H7"",""20202"",""1101"");, ♣ⓗ",
College of Medicine,Medicine,,,,,Major Requisite,,MED7185-54-00   ,1,Research Mentoring ,,,,,yong min Huh,,,"javascript:OpenList5(""H7"",""20202"",""1101"");, ♣ⓗ",
College of Medicine,Medicine,,,,,Major Requisite,,MED7185-55-00   ,1,Research Mentoring ,,,,,yong min Huh,,,"javascript:OpenList5(""H7"",""20202"",""1101"");, ♣ⓗ",
College of Medicine,Medicine,,,,,Major Requisite,,MED7185-56-00   ,1,Research Mentoring ,,,,,yong min Huh,,,"javascript:OpenList5(""H7"",""20202"",""1101"");, ♣ⓗ",
College of Medicine,Medicine,,,,,Major Elective,,MED7353-01-00   ,1,Medical Mission ,,,,,MIN GEOL LEE,,,"javascript:OpenList5(""H7"",""20202"",""1101"");, ♣",
College of Medicine,Medicine,,,,,Major Elective,,MED7353-02-00   ,1,Understandings and Roles of Medical Association ,,,,,Hong SoonWon,,,"javascript:OpenList5(""H7"",""20202"",""1101"");, ♣",
College of Medicine,Medicine,,,,,Major Elective,,MED7353-03-00   ,1,Women in Medicine ,,,,,JINSIL SEONG,,,"javascript:OpenList5(""H7"",""20202"",""1101"");, ♣",
College of Medicine,Medicine,,,,,Major Elective,,MED7353-04-00   ,1,unification and medicine ,,,,,taek jeon woo,,,"javascript:OpenList5(""H7"",""20202"",""1101"");, ♣",
College of Medicine,Medicine,,,,,Major Elective,,MED7353-05-00   ,1,Thanatology for Medical Students ,,,,,CHANG GEOL LEE,,,"javascript:OpenList5(""H7"",""20202"",""1101"");, ♣",
College of Medicine,Medicine,,,,,Major Elective,,MED7353-06-00   ,1,Hospice and Palliative Medicine ,,,,,JAE YONG SHIM,,,"javascript:OpenList5(""H7"",""20202"",""1101"");, ♣",
College of Medicine,Medicine,,,,,Major Elective,,MED7353-07-00   ,1,Medicine and arts ,,,,,TAI SOON YONG,,,"javascript:OpenList5(""H7"",""20202"",""1101"");, ♣",
College of Medicine,Medicine,,,,,Major Elective,,MED7353-08-00   ,1,Healthcare and human right of vulnerable population ,,,,,SUNJOO KANG,,,"javascript:OpenList5(""H7"",""20202"",""1101"");, ♣",
College of Medicine,Medicine,,,,,Major Elective,,MED7353-09-00   ,1,Medicine and the Media ,,,,,이한규,,,"javascript:OpenList5(""H7"",""20202"",""1101"");, ♣",
College of Medicine,Medicine,,,,,Major Elective,,MED7353-10-00   ,1,Health and Justice ,,,,,이어진,,,"javascript:OpenList5(""H7"",""20202"",""1101"");, ♣",
College of Medicine,Medicine,,,,,Major Elective,,MED7353-11-00   ,1,The doctor???s role in the death investigation system ,,,,,Jong-Pil Park,,,"javascript:OpenList5(""H7"",""20202"",""1101"");, ♣",
College of Medicine,Medicine,,,,,Major Elective,,MED7353-12-00   ,1,Social Innovation and Global Health ,,,,,Sangchul Yoon,,,"javascript:OpenList5(""H7"",""20202"",""1101"");, ♣",
College of Medicine,Medicine,,,,,Major Elective,,MED7353-13-00   ,1,COVID-19: Crisis and response of infectious disease ,,,,,So Yoon Kim,,,"javascript:OpenList5(""H7"",""20202"",""1101"");, ♣",
College of Medicine,Medicine,,,,,Major Requisite,,MED7185-03-00   ,1,Research Mentoring ,,,,,yong min Huh,,,"javascript:OpenList5(""H7"",""20202"",""1101"");, ♣ⓗ",
College of Medicine,Medicine,,,,,Major Requisite,,MED7185-10-00   ,1,Research Mentoring ,,,,,yong min Huh,,,"javascript:OpenList5(""H7"",""20202"",""1101"");, ♣ⓗ",
College of Medicine,Medicine,,,,,Major Requisite,,MED7185-15-00   ,1,Research Mentoring ,,,,,yong min Huh,,,"javascript:OpenList5(""H7"",""20202"",""1101"");, ♣ⓗ",
