학부대학,소분류,,,,학년,종별,단위,학정번호-분반(-실습),학점,교과목명,수강대상,,,,담당교수,강의시간,강의실,유의사항,국외교환학생가능
의과대학,의학전공,,,,,전선,,MED3340-10-00   ,1,영양과 의학 ,,,,,김경식,,,"javascript:OpenList5(""H7"",""20202"",""1101"");, ♣",
의과대학,의학전공,,,,,전선,,MED3340-11-00   ,1,임상노인학 ,,,,,김창오,,,"javascript:OpenList5(""H7"",""20202"",""1101"");, ♣",
의과대학,의학전공,,,,,전선,,MED3340-12-00   ,1,조직공학 ,,,,,성학준,,,"javascript:OpenList5(""H7"",""20202"",""1101"");, ♣",
의과대학,의학전공,,,,,전선,,MED3340-13-00   ,1,환자안전 ,,,,,김소윤,,,"javascript:OpenList5(""H7"",""20202"",""1101"");, ♣",
의과대학,의학전공,,,,,전필,,MED7185-01-00   ,1,연구멘토링-가정의학-이지원 ,,,,,허용민,,,"javascript:OpenList5(""H7"",""20202"",""1101"");, ♣ⓗ",
의과대학,의학전공,,,,,전필,,MED7185-02-00   ,1,연구멘토링-내과학-김범경 ,,,,,허용민,,,"javascript:OpenList5(""H7"",""20202"",""1101"");, ♣ⓗ",
의과대학,의학전공,,,,,전필,,MED7185-04-00   ,1,연구멘토링-내과학-김창오 ,,,,,허용민,,,"javascript:OpenList5(""H7"",""20202"",""1101"");, ♣ⓗ",
의과대학,의학전공,,,,,전필,,MED7185-05-00   ,1,연구멘토링-내과학-김한상 ,,,,,허용민,,,"javascript:OpenList5(""H7"",""20202"",""1101"");, ♣ⓗ",
의과대학,의학전공,,,,,전필,,MED7185-06-00   ,1,연구멘토링-내과학-신상준 ,,,,,허용민,,,"javascript:OpenList5(""H7"",""20202"",""1101"");, ♣ⓗ",
의과대학,의학전공,,,,,전필,,MED7185-07-00   ,1,연구멘토링-내과학-이상길 ,,,,,허용민,,,"javascript:OpenList5(""H7"",""20202"",""1101"");, ♣ⓗ",
의과대학,의학전공,,,,,전필,,MED7185-08-00   ,1,연구멘토링-내과학-이재현 ,,,,,허용민,,,"javascript:OpenList5(""H7"",""20202"",""1101"");, ♣ⓗ",
의과대학,의학전공,,,,,전필,,MED7185-09-00   ,1,연구멘토링-내과학-이희승 ,,,,,허용민,,,"javascript:OpenList5(""H7"",""20202"",""1101"");, ♣ⓗ",
의과대학,의학전공,,,,,전필,,MED7185-11-00   ,1,연구멘토링-내과학-정보영 ,,,,,허용민,,,"javascript:OpenList5(""H7"",""20202"",""1101"");, ♣ⓗ",
의과대학,의학전공,,,,,전필,,MED7185-12-00   ,1,연구멘토링-내과학-천재희 ,,,,,허용민,,,"javascript:OpenList5(""H7"",""20202"",""1101"");, ♣ⓗ",
의과대학,의학전공,,,,,전필,,MED7185-13-00   ,1,연구멘토링-내과학-홍남기 ,,,,,허용민,,,"javascript:OpenList5(""H7"",""20202"",""1101"");, ♣ⓗ",
의과대학,의학전공,,,,,전필,,MED7185-14-00   ,1,연구멘토링-마취통증의학-김명화 ,,,,,허용민,,,"javascript:OpenList5(""H7"",""20202"",""1101"");, ♣ⓗ",
의과대학,의학전공,,,,,전필,,MED7185-16-00   ,1,연구멘토링-미생물학-권호근 ,,,,,허용민,,,"javascript:OpenList5(""H7"",""20202"",""1101"");, ♣ⓗ",
의과대학,의학전공,,,,,전필,,MED7185-17-00   ,1,연구멘토링-미생물학-김태균 ,,,,,허용민,,,"javascript:OpenList5(""H7"",""20202"",""1101"");, ♣ⓗ",
의과대학,의학전공,,,,,전필,,MED7185-18-00   ,1,연구멘토링-방사선종양학-금웅섭 ,,,,,허용민,,,"javascript:OpenList5(""H7"",""20202"",""1101"");, ♣ⓗ",
의과대학,의학전공,,,,,전필,,MED7185-19-00   ,1,연구멘토링-방사선종양학-윤홍인 ,,,,,허용민,,,"javascript:OpenList5(""H7"",""20202"",""1101"");, ♣ⓗ",
의과대학,의학전공,,,,,전필,,MED7185-20-00   ,1,연구멘토링-방사선종양학-장지석 ,,,,,허용민,,,"javascript:OpenList5(""H7"",""20202"",""1101"");, ♣ⓗ",
의과대학,의학전공,,,,,전필,,MED7185-21-00   ,1,연구멘토링-방사선종양학-조재호 ,,,,,허용민,,,"javascript:OpenList5(""H7"",""20202"",""1101"");, ♣ⓗ",
의과대학,의학전공,,,,,전필,,MED7185-22-00   ,1,연구멘토링-비뇨의학-조강수 ,,,,,허용민,,,"javascript:OpenList5(""H7"",""20202"",""1101"");, ♣ⓗ",
의과대학,의학전공,,,,,전필,,MED7185-23-00   ,1,연구멘토링-성형외과학-윤인식 ,,,,,허용민,,,"javascript:OpenList5(""H7"",""20202"",""1101"");, ♣ⓗ",
의과대학,의학전공,,,,,전필,,MED7185-24-00   ,1,연구멘토링-성형외과학-이동원 ,,,,,허용민,,,"javascript:OpenList5(""H7"",""20202"",""1101"");, ♣ⓗ",
의과대학,의학전공,,,,,전필,,MED7185-25-00   ,1,연구멘토링-신경과학-김경환 ,,,,,허용민,,,"javascript:OpenList5(""H7"",""20202"",""1101"");, ♣ⓗ",
의과대학,의학전공,,,,,전필,,MED7185-26-00   ,1,연구멘토링-신경과학-김승우 ,,,,,허용민,,,"javascript:OpenList5(""H7"",""20202"",""1101"");, ♣ⓗ",
의과대학,의학전공,,,,,전필,,MED7185-27-00   ,1,연구멘토링-신경과학-박수철 ,,,,,허용민,,,"javascript:OpenList5(""H7"",""20202"",""1101"");, ♣ⓗ",
의과대학,의학전공,,,,,전필,,MED7185-28-00   ,1,연구멘토링-신경외과학-심규원 ,,,,,허용민,,,"javascript:OpenList5(""H7"",""20202"",""1101"");, ♣ⓗ",
의과대학,의학전공,,,,,전필,,MED7185-29-00   ,1,연구멘토링-신경외과학-정현호 ,,,,,허용민,,,"javascript:OpenList5(""H7"",""20202"",""1101"");, ♣ⓗ",
의과대학,의학전공,,,,,전필,,MED7185-30-00   ,1,연구멘토링-약리학-김형범 ,,,,,허용민,,,"javascript:OpenList5(""H7"",""20202"",""1101"");, ♣ⓗ",
의과대학,의학전공,,,,,전필,,MED7185-31-00   ,1,연구멘토링-약리학-지헌영 ,,,,,허용민,,,"javascript:OpenList5(""H7"",""20202"",""1101"");, ♣ⓗ",
의과대학,의학전공,,,,,전필,,MED7185-32-00   ,1,연구멘토링-영상의학-정대철 ,,,,,허용민,,,"javascript:OpenList5(""H7"",""20202"",""1101"");, ♣ⓗ",
의과대학,의학전공,,,,,전필,,MED7185-33-00   ,1,연구멘토링-영상의학-정용은 ,,,,,허용민,,,"javascript:OpenList5(""H7"",""20202"",""1101"");, ♣ⓗ",
의과대학,의학전공,,,,,전필,,MED7185-34-00   ,1,연구멘토링-예방의학-윤진하 ,,,,,허용민,,,"javascript:OpenList5(""H7"",""20202"",""1101"");, ♣ⓗ",
의과대학,의학전공,,,,,전필,,MED7185-35-00   ,1,연구멘토링-외과학-강정현 ,,,,,허용민,,,"javascript:OpenList5(""H7"",""20202"",""1101"");, ♣ⓗ",
의과대학,의학전공,,,,,전필,,MED7185-36-00   ,1,연구멘토링-외과학-박준성 ,,,,,허용민,,,"javascript:OpenList5(""H7"",""20202"",""1101"");, ♣ⓗ",
의과대학,의학전공,,,,,전필,,MED7185-37-00   ,1,연구멘토링-외과학-정준 ,,,,,허용민,,,"javascript:OpenList5(""H7"",""20202"",""1101"");, ♣ⓗ",
의과대학,의학전공,,,,,전필,,MED7185-38-00   ,1,연구멘토링-외과학-주동진 ,,,,,허용민,,,"javascript:OpenList5(""H7"",""20202"",""1101"");, ♣ⓗ",
의과대학,의학전공,,,,,전필,,MED7185-39-00   ,1,연구멘토링-응급의학-유제성 ,,,,,허용민,,,"javascript:OpenList5(""H7"",""20202"",""1101"");, ♣ⓗ",
의과대학,의학전공,,,,,전필,,MED7185-40-00   ,1,연구멘토링-의생명과학-남기택 ,,,,,허용민,,,"javascript:OpenList5(""H7"",""20202"",""1101"");, ♣ⓗ",
의과대학,의학전공,,,,,전필,,MED7185-41-00   ,1,연구멘토링-의생명과학-박유랑 ,,,,,허용민,,,"javascript:OpenList5(""H7"",""20202"",""1101"");, ♣ⓗ",
의과대학,의학전공,,,,,전필,,MED7185-42-00   ,1,연구멘토링-의생명과학-박채규 ,,,,,허용민,,,"javascript:OpenList5(""H7"",""20202"",""1101"");, ♣ⓗ",
의과대학,의학전공,,,,,전필,,MED7185-43-00   ,1,연구멘토링-의생명과학-배수한 ,,,,,허용민,,,"javascript:OpenList5(""H7"",""20202"",""1101"");, ♣ⓗ",
의과대학,의학전공,,,,,전필,,MED7185-44-00   ,1,연구멘토링-의생명과학-황성순 ,,,,,허용민,,,"javascript:OpenList5(""H7"",""20202"",""1101"");, ♣ⓗ",
의과대학,의학전공,,,,,전필,,MED7185-45-00   ,1,연구멘토링-의학공학-유선국 ,,,,,허용민,,,"javascript:OpenList5(""H7"",""20202"",""1101"");, ♣ⓗ",
의과대학,의학전공,,,,,전필,,MED7185-46-00   ,1,연구멘토링-의학교육학-양은배 ,,,,,허용민,,,"javascript:OpenList5(""H7"",""20202"",""1101"");, ♣ⓗ",
의과대학,의학전공,,,,,전필,,MED7185-47-00   ,1,연구멘토링-이비인후과학-임재열 ,,,,,허용민,,,"javascript:OpenList5(""H7"",""20202"",""1101"");, ♣ⓗ",
의과대학,의학전공,,,,,전필,,MED7185-48-00   ,1,연구멘토링-재활의학-조성래 ,,,,,허용민,,,"javascript:OpenList5(""H7"",""20202"",""1101"");, ♣ⓗ",
의과대학,의학전공,,,,,전필,,MED7185-49-00   ,1,연구멘토링-정신과학-김어수 ,,,,,허용민,,,"javascript:OpenList5(""H7"",""20202"",""1101"");, ♣ⓗ",
의과대학,의학전공,,,,,전필,,MED7185-50-00   ,1,연구멘토링-정신과학-안석균 ,,,,,허용민,,,"javascript:OpenList5(""H7"",""20202"",""1101"");, ♣ⓗ",
의과대학,의학전공,,,,,전필,,MED7185-51-00   ,1,연구멘토링-정형외과학-정민 ,,,,,허용민,,,"javascript:OpenList5(""H7"",""20202"",""1101"");, ♣ⓗ",
의과대학,의학전공,,,,,전필,,MED7185-52-00   ,1,연구멘토링-정형외과학-박훈 ,,,,,허용민,,,"javascript:OpenList5(""H7"",""20202"",""1101"");, ♣ⓗ",
의과대학,의학전공,,,,,전필,,MED7185-53-00   ,1,연구멘토링-진단검사의학-이상국 ,,,,,허용민,,,"javascript:OpenList5(""H7"",""20202"",""1101"");, ♣ⓗ",
의과대학,의학전공,,,,,전필,,MED7185-54-00   ,1,연구멘토링-피부과학-김종훈 ,,,,,허용민,,,"javascript:OpenList5(""H7"",""20202"",""1101"");, ♣ⓗ",
의과대학,의학전공,,,,,전필,,MED7185-55-00   ,1,연구멘토링-핵의학-박해정 ,,,,,허용민,,,"javascript:OpenList5(""H7"",""20202"",""1101"");, ♣ⓗ",
의과대학,의학전공,,,,,전필,,MED7185-56-00   ,1,연구멘토링-핵의학-윤미진 ,,,,,허용민,,,"javascript:OpenList5(""H7"",""20202"",""1101"");, ♣ⓗ",
의과대학,의학전공,,,,,전선,,MED7353-01-00   ,1,의료선교의 이해 ,,,,,이민걸,,,"javascript:OpenList5(""H7"",""20202"",""1101"");, ♣",
의과대학,의학전공,,,,,전선,,MED7353-02-00   ,1,의사단체의 역할과 이해 ,,,,,홍순원,,,"javascript:OpenList5(""H7"",""20202"",""1101"");, ♣",
의과대학,의학전공,,,,,전선,,MED7353-03-00   ,1,여의사로 살아가기 ,,,,,성진실,,,"javascript:OpenList5(""H7"",""20202"",""1101"");, ♣",
의과대학,의학전공,,,,,전선,,MED7353-04-00   ,1,한반도 건강공동체 준비 ,,,,,전우택,,,"javascript:OpenList5(""H7"",""20202"",""1101"");, ♣",
의과대학,의학전공,,,,,전선,,MED7353-05-00   ,1,의대생을 위한 죽음학 ,,,,,이창걸,,,"javascript:OpenList5(""H7"",""20202"",""1101"");, ♣",
의과대학,의학전공,,,,,전선,,MED7353-06-00   ,1,호스피스 완화의학 ,,,,,심재용,,,"javascript:OpenList5(""H7"",""20202"",""1101"");, ♣",
의과대학,의학전공,,,,,전선,,MED7353-07-00   ,1,의술과 예술 ,,,,,용태순,,,"javascript:OpenList5(""H7"",""20202"",""1101"");, ♣",
의과대학,의학전공,,,,,전선,,MED7353-08-00   ,1,취약 계층의 의료와 인권 ,,,,,강선주,,,"javascript:OpenList5(""H7"",""20202"",""1101"");, ♣",
의과대학,의학전공,,,,,전선,,MED7353-09-00   ,1,의료와 대중매체 ,,,,,이한규,,,"javascript:OpenList5(""H7"",""20202"",""1101"");, ♣",
의과대학,의학전공,,,,,전선,,MED7353-10-00   ,1,법무의료의 이해 ,,,,,이어진,,,"javascript:OpenList5(""H7"",""20202"",""1101"");, ♣",
의과대학,의학전공,,,,,전선,,MED7353-11-00   ,1,검시제도와 의사의 역할 ,,,,,박종필,,,"javascript:OpenList5(""H7"",""20202"",""1101"");, ♣",
의과대학,의학전공,,,,,전선,,MED7353-12-00   ,1,사회 혁신과 국제보건 ,,,,,윤상철,,,"javascript:OpenList5(""H7"",""20202"",""1101"");, ♣",
의과대학,의학전공,,,,,전선,,MED7353-13-00   ,1,COVID-19: 감염병의 위기와 대응 ,,,,,김소윤,,,"javascript:OpenList5(""H7"",""20202"",""1101"");, ♣",
의과대학,의학전공,,,,,전필,,MED7185-03-00   ,1,연구멘토링-내과학-김병극 ,,,,,허용민,,,"javascript:OpenList5(""H7"",""20202"",""1101"");, ♣ⓗ",
의과대학,의학전공,,,,,전필,,MED7185-10-00   ,1,연구멘토링-내과학-장성일 ,,,,,허용민,,,"javascript:OpenList5(""H7"",""20202"",""1101"");, ♣ⓗ",
의과대학,의학전공,,,,,전필,,MED7185-15-00   ,1,연구멘토링-마취통증의학-이보라 ,,,,,허용민,,,"javascript:OpenList5(""H7"",""20202"",""1101"");, ♣ⓗ",
