전공,영역,학수번호,과목명,교수명,이수구분,학년,학점,강의시간/강의실
Major/Minor,CORE Global Studies,J11020102,"중남미역사와사상(2)
(Latin American History and Philosophy (2))","양은미
(-)",인문학공통,1,3,"목 4 5 6 (-)
(Thu 4 5 6 (-))"
Major/Minor,CORE Global Studies,J11020103,"중남미역사와사상(2)
(Latin American History and Philosophy (2))","조구호
(Guho Cho)",인문학공통,1,3,"목 7 8 9 (-)
(Thu 7 8 9 (-))"
Major/Minor,CORE Global Studies,J11016201,"중동의사회와문화(2)
(Society and Culture in the Middle East (2))","이수정
(Yi Soo Jeong)",인문학공통,1,3,"목 4 5 6 (-)
(Thu 4 5 6 (-))"
Major/Minor,Department of English for International Conferences and Communication,A01703101,Discussion & Debate (2),Michael Chesnut,전공,1,2,"금 1 2 (-)
(Fri 1 2 (-))"
Major/Minor,Department of English for International Conferences and Communication,A01703102,Discussion & Debate (2),Michael Chesnut,전공,1,2,"목 1 2 (-)
(Thu 1 2 (-))"
Major/Minor,Department of English for International Conferences and Communication,A01706201,English for International Communication,"김인성
(Inseong Kim)",전공,1,2,"목 1 2 (-)
(Thu 1 2 (-))"
Major/Minor,Department of English for International Conferences and Communication,A01706202,English for International Communication,"김인성
(Inseong Kim)",전공,1,2,"목 3 4 (-)
(Thu 3 4 (-))"
Major/Minor,Department of English for International Conferences and Communication,A01704101,Essay Writing,"Jon H. Bahk-Halberg
(Jonny Bahk-Halberg)",전공,1,2,"목 5 6 (-)
(Thu 5 6 (-))"
Major/Minor,Department of English for International Conferences and Communication,A01704102,Essay Writing,"Vivian Wei-wan Lee
(-)",전공,1,2,"금 5 6 (-)
(Fri 5 6 (-))"
Major/Minor,Department of English for International Conferences and Communication,A01704103,Essay Writing,"Vivian Wei-wan Lee
(-)",전공,1,2,"금 7 8 (-)
(Fri 7 8 (-))"
Major/Minor,Department of English for International Conferences and Communication,A01701101,Foundations of Interpreting and Translation (2),(-),전공,1,2,"화 9 10 (-)
(Tue 9 10 (-))"
Major/Minor,Department of English for International Conferences and Communication,A01701102,Foundations of Interpreting and Translation (2),"박리라
(Lira Park)",전공,1,2,"수 3 4 (-)
(Wed 3 4 (-))"
Major/Minor,Department of English for International Conferences and Communication,A01701103,Foundations of Interpreting and Translation (2),"박리라
(Lira Park)",전공,1,2,"수 5 6 (-)
(Wed 5 6 (-))"
Major/Minor,Department of English for International Conferences and Communication,A01701104,Foundations of Interpreting and Translation (2),"조수연
(Jo Sue Yeon)",전공,1,2,"수 9 10 (-)
(Wed 9 10 (-))"
Major/Minor,Department of English for International Conferences and Communication,A01702101,Presenting in English (2),"Joseph R. Vincent
(Joe Vincent)",전공,1,2,"화 1 2 (-)
(Tue 1 2 (-))"
Major/Minor,Department of English for International Conferences and Communication,A01702102,Presenting in English (2),"Joseph R. Vincent
(Joe Vincent)",전공,1,2,"화 3 4 (-)
(Tue 3 4 (-))"
Major/Minor,Department of English for International Conferences and Communication,A01708101,English for Negotiations (2),Michael Chesnut,전공,2,2,"목 5 6 (-)
(Thu 5 6 (-))"
Major/Minor,Department of English for International Conferences and Communication,A01708102,English for Negotiations (2),Michael Chesnut,전공,2,2,"목 7 8 (-)
(Thu 7 8 (-))"
Major/Minor,Department of English for International Conferences and Communication,A01514301,English-Korean Consecutive Interpreting (2),"이현경
(Lee Hyun-kyung)",전공,2,2,"월 7 8 (-)
(Mon 7 8 (-))"
Major/Minor,Department of English for International Conferences and Communication,A01514302,English-Korean Consecutive Interpreting (2),"윤미선
(Miseon Yoon)",전공,2,2,"수 1 2 (-)
(Wed 1 2 (-))"
Major/Minor,Department of English for International Conferences and Communication,A01514303,English-Korean Consecutive Interpreting (2),"윤미선
(Miseon Yoon)",전공,2,2,"수 5 6 (-)
(Wed 5 6 (-))"
Major/Minor,Department of English for International Conferences and Communication,A01514304,English-Korean Consecutive Interpreting (2),"함희주
(Heejoo Ham)",전공,2,2,"금 7 8 (-)
(Fri 7 8 (-))"
Major/Minor,Department of English for International Conferences and Communication,A01254201,English-Korean Translation (2),"이현경
(Lee Hyun-kyung)",전공,2,2,"월 5 6 (-)
(Mon 5 6 (-))"
Major/Minor,Department of English for International Conferences and Communication,A01254202,English-Korean Translation (2),"남원준
(Won Jun Nam)",전공,2,2,"화 5 6 (-)
(Tue 5 6 (-))"
Major/Minor,Department of English for International Conferences and Communication,A01254203,English-Korean Translation (2),"신지현
(Jee Hyun Shin)",전공,2,2,"목 3 4 (-)
(Thu 3 4 (-))"
Major/Minor,Department of English for International Conferences and Communication,A01508201,Korean-English Translation (2),Alyssa Kim,전공,2,2,"화 3 4 (-)
(Tue 3 4 (-))"
Major/Minor,Department of English for International Conferences and Communication,A01508202,Korean-English Translation (2),"Vivian Wei-wan Lee
(-)",전공,2,2,"금 3 4 (-)
(Fri 3 4 (-))"
Major/Minor,Department of English for International Conferences and Communication,A01256101,Public Speaking (2),"Vivian Wei-wan Lee
(-)",전공,2,2,"목 9 10 (-)
(Thu 9 10 (-))"
Major/Minor,Department of English for International Conferences and Communication,A01256102,Public Speaking (2),Alyssa Kim,전공,2,2,"금 1 2 (-)
(Fri 1 2 (-))"
Major/Minor,Department of English for International Conferences and Communication,A01272301,Public Writing (2),"Jon H. Bahk-Halberg
(Jonny Bahk-Halberg)",전공,2,2,"금 5 6 (-)
(Fri 5 6 (-))"
Major/Minor,Department of English for International Conferences and Communication,A01335101,Translation Theory & Practice (2),"이선우
(LEE SUN WOO)",전공,2,2,"수 9 10 (-)
(Wed 9 10 (-))"
Major/Minor,Department of English for International Conferences and Communication,A01335102,Translation Theory & Practice (2),"선영화
(Sun, Young-Hwa)",전공,2,2,"목 3 4 (-)
(Thu 3 4 (-))"
Major/Minor,Department of English for International Conferences and Communication,A01335103,Translation Theory & Practice (2),"선영화
(Sun, Young-Hwa)",전공,2,2,"목 5 6 (-)
(Thu 5 6 (-))"
Major/Minor,Department of English for International Conferences and Communication,A01733101,Advanced English-Korean Translation (2),"최효은
(Hyo-eun Choi)",전공,3,2,"화 7 8 (-)
(Tue 7 8 (-))"
Major/Minor,Department of English for International Conferences and Communication,A01733102,Advanced English-Korean Translation (2),"최효은
(Hyo-eun Choi)",전공,3,2,"화 9 10 (-)
(Tue 9 10 (-))"
Major/Minor,Department of English for International Conferences and Communication,A01733103,Advanced English-Korean Translation (2),"최효은
(Hyo-eun Choi)",전공,3,2,"수 1 2 (-)
(Wed 1 2 (-))"
Major/Minor,Department of English for International Conferences and Communication,A01732101,"AdvancedEnglish-KoreanConsecutive Interpreting(2)
(Advanced English-Korean Consecutive Interpreting (2))","김윤숙
(Yoon Sook Kim)",전공,3,2,"월 1 2 (-)
(Mon 1 2 (-))"
Major/Minor,Department of English for International Conferences and Communication,A01732102,"AdvancedEnglish-KoreanConsecutive Interpreting(2)
(Advanced English-Korean Consecutive Interpreting (2))","김윤숙
(Yoon Sook Kim)",전공,3,2,"월 3 4 (-)
(Mon 3 4 (-))"
Major/Minor,Department of English for International Conferences and Communication,A01720201,Career Development,"Jon H. Bahk-Halberg
(Jonny Bahk-Halberg)",전공,3,2,"월 3 4 (-)
(Mon 3 4 (-))"
Major/Minor,Department of English for International Conferences and Communication,A01720202,Career Development,"Jon H. Bahk-Halberg
(Jonny Bahk-Halberg)",전공,3,2,"월 5 6 (-)
(Mon 5 6 (-))"
Major/Minor,Department of English for International Conferences and Communication,A01735101,Culture & Media Translation (2),Alyssa Kim,전공,3,2,"금 3 4 (-)
(Fri 3 4 (-))"
Major/Minor,Department of English for International Conferences and Communication,A01721201,Issues in International Relations (2),Shaun Justin Manning,전공,3,2,"화 5 6 (-)
(Tue 5 6 (-))"
Major/Minor,Department of English for International Conferences and Communication,A01721202,Issues in International Relations (2),Shaun Justin Manning,전공,3,2,"화 7 8 (-)
(Tue 7 8 (-))"
Major/Minor,Department of English for International Conferences and Communication,A01731101,Korean-English Consecutive Interpreting (2),"박예진
(PARK YAE JIN)",전공,3,2,"화 1 2 (-)
(Tue 1 2 (-))"
Major/Minor,Department of English for International Conferences and Communication,A01731102,Korean-English Consecutive Interpreting (2),"박예진
(PARK YAE JIN)",전공,3,2,"화 3 4 (-)
(Tue 3 4 (-))"
Major/Minor,Department of English for International Conferences and Communication,A01302101,Legal English,"Joseph R. Vincent
(Joe Vincent)",전공,3,2,"월 1 2 (-)
(Mon 1 2 (-))"
Major/Minor,Department of English for International Conferences and Communication,A01734101,Literary Translation (2),"권오숙
(Osook Kweon)",전공,3,2,"수 5 6 (-)
(Wed 5 6 (-))"
Major/Minor,Department of English for International Conferences and Communication,A01734102,Literary Translation (2),"권오숙
(Osook Kweon)",전공,3,2,"수 7 8 (-)
(Wed 7 8 (-))"
Major/Minor,Department of English for International Conferences and Communication,A01719201,Understanding Digital Media for Translation,Michael Chesnut,전공,3,2,"금 7 8 (-)
(Fri 7 8 (-))"
Major/Minor,Department of English for International Conferences and Communication,A40151201,Advanced English Reading for Translation (2),"Joseph R. Vincent
(Joe Vincent)",전공,4,2,"월 3 4 (-)
(Mon 3 4 (-))"
Major/Minor,Department of English for International Conferences and Communication,A40151202,Advanced English Reading for Translation (2),"Joseph R. Vincent
(Joe Vincent)",전공,4,2,"월 5 6 (-)
(Mon 5 6 (-))"
Major/Minor,Department of English for International Conferences and Communication,A40148201,"AdvancedKorean-EnglishConsecutiveInterpreting(2)
(Advanced Korean-English Consecutive Interpreting (2))",(-),전공,4,2,"목 1 2 (-)
(Thu 1 2 (-))"
Major/Minor,Department of English for International Conferences and Communication,A40149301,T & I Practicum (2),"남원준
(Won Jun Nam)",전공,4,2,"목 1 2 (-)
(Thu 1 2 (-))"
Major/Minor,Department of English for International Conferences and Communication,A40150401,Translation and Korean Culture Capstone Design,"이상빈
(Lee, Sang-Bin)",전공,4,3,"금 4 5 6 (-)
(Fri 4 5 6 (-))"
Major/Minor,Department of English for International Conferences and Communication,A01703103,Discussion & Debate (2),"Joseph R. Vincent
(Joe Vincent)",이중(부)전공,2,2,"금 3 4 (-)
(Fri 3 4 (-))"
Major/Minor,Department of English for International Conferences and Communication,A01703104,Discussion & Debate (2),"Joseph R. Vincent
(Joe Vincent)",이중(부)전공,2,2,"금 5 6 (-)
(Fri 5 6 (-))"
Major/Minor,Department of English for International Conferences and Communication,A01704104,Essay Writing,"Jon H. Bahk-Halberg
(Jonny Bahk-Halberg)",이중(부)전공,2,2,"목 3 4 (-)
(Thu 3 4 (-))"
Major/Minor,Department of English for International Conferences and Communication,A01701105,Foundations of Interpreting and Translation (2),"최은경
(Choi, Eun-Kyoung)",이중(부)전공,2,2,"월 5 6 (-)
(Mon 5 6 (-))"
Major/Minor,Department of English for International Conferences and Communication,A01701106,Foundations of Interpreting and Translation (2),"최은경
(Choi, Eun-Kyoung)",이중(부)전공,2,2,"월 9 10 (-)
(Mon 9 10 (-))"
Major/Minor,Department of English for International Conferences and Communication,A01701107,Foundations of Interpreting and Translation (2),(-),이중(부)전공,2,2,"화 7 8 (-)
(Tue 7 8 (-))"
Major/Minor,Department of English for International Conferences and Communication,A01702103,Presenting in English (2),"Jon H. Bahk-Halberg
(Jonny Bahk-Halberg)",이중(부)전공,2,2,"수 1 2 (-)
(Wed 1 2 (-))"
Major/Minor,Department of English for International Conferences and Communication,A01514305,English-Korean Consecutive Interpreting (2),"조수연
(Jo Sue Yeon)",이중(부)전공,3,2,"목 5 6 (-)
(Thu 5 6 (-))"
Major/Minor,Department of English for International Conferences and Communication,A01514306,English-Korean Consecutive Interpreting (2),"조수연
(Jo Sue Yeon)",이중(부)전공,3,2,"목 7 8 (-)
(Thu 7 8 (-))"
Major/Minor,Department of English for International Conferences and Communication,A01254204,English-Korean Translation (2),"신지현
(Jee Hyun Shin)",이중(부)전공,3,2,"목 1 2 (-)
(Thu 1 2 (-))"
Major/Minor,Department of English for International Conferences and Communication,A01254205,English-Korean Translation (2),"김인성
(Inseong Kim)",이중(부)전공,3,2,"금 7 8 (-)
(Fri 7 8 (-))"
Major/Minor,Department of English for International Conferences and Communication,A01508203,Korean-English Translation (2),Alyssa Kim,이중(부)전공,3,2,"화 1 2 (-)
(Tue 1 2 (-))"
Major/Minor,Department of English for International Conferences and Communication,A01256103,Public Speaking (2),"Vivian Wei-wan Lee
(-)",이중(부)전공,3,2,"목 7 8 (-)
(Thu 7 8 (-))"
Major/Minor,Department of English for International Conferences and Communication,A01272302,Public Writing (2),"Jon H. Bahk-Halberg
(Jonny Bahk-Halberg)",이중(부)전공,3,2,"금 3 4 (-)
(Fri 3 4 (-))"
Major/Minor,Department of English for International Conferences and Communication,A01335104,Translation Theory & Practice (2),"이선우
(LEE SUN WOO)",이중(부)전공,3,2,"수 5 6 (-)
(Wed 5 6 (-))"
Major/Minor,Department of English for International Conferences and Communication,A01733104,Advanced English-Korean Translation (2),"최효은
(Hyo-eun Choi)",이중(부)전공,4,2,"수 3 4 (-)
(Wed 3 4 (-))"
Major/Minor,Department of English for International Conferences and Communication,A01732103,"AdvancedEnglish-KoreanConsecutive Interpreting(2)
(Advanced English-Korean Consecutive Interpreting (2))",(-),이중(부)전공,4,2,"화 1 2 (-)
(Tue 1 2 (-))"
Major/Minor,Department of English for International Conferences and Communication,A01731103,Korean-English Consecutive Interpreting (2),"김윤숙
(Yoon Sook Kim)",이중(부)전공,4,2,"수 1 2 (-)
(Wed 1 2 (-))"
Major/Minor,Department of English for International Conferences and Communication,A01719202,Understanding Digital Media for Translation,Michael Chesnut,이중(부)전공,4,2,"금 5 6 (-)
(Fri 5 6 (-))"
Major/Minor,Department of English Linguistics & Language Technology,A10104101,Critical Writing(General 2),"조수경
(Sookyung Cho)",전공,1,2,"화 7 8 (-)
(Tue 7 8 (-))"
Major/Minor,Department of English Linguistics & Language Technology,A10104102,Critical Writing(General 2),"Garrett Dehond
(Garrett DeHond)",전공,1,2,"월 1 2 (-)
(Mon 1 2 (-))"
Major/Minor,Department of English Linguistics & Language Technology,A10104103,Critical Writing(General 2),Shaun Justin Manning,전공,1,2,"금 1 2 (-)
(Fri 1 2 (-))"
Major/Minor,Department of English Linguistics & Language Technology,A10105101,Critical Writing(Honors 2),"Steve Hyok Lee
(Steve Lee)",전공,1,2,"수 5 6 (-)
(Wed 5 6 (-))"
Major/Minor,Department of English Linguistics & Language Technology,A10105102,Critical Writing(Honors 2),Shaun Justin Manning,전공,1,2,"화 1 2 (-)
(Tue 1 2 (-))"
Major/Minor,Department of English Linguistics & Language Technology,A10103101,Intensive Reading (2),"안규동
(Ahn Kyou-Dong)",전공,1,2,"월 3 4 (-)
(Mon 3 4 (-))"
Major/Minor,Department of English Linguistics & Language Technology,A10103102,Intensive Reading (2),"조윤정(E)
(Cho, Yunjeong)",전공,1,2,"금 3 4 (-)
(Fri 3 4 (-))"
Major/Minor,Department of English Linguistics & Language Technology,A10103103,Intensive Reading (2),"조윤정(E)
(Cho, Yunjeong)",전공,1,2,"화 7 8 (-)
(Tue 7 8 (-))"
Major/Minor,Department of English Linguistics & Language Technology,A10106101,Interacting in Spoken English (2),"Steve Hyok Lee
(Steve Lee)",전공,1,2,"월 5 6 (-)
(Mon 5 6 (-))"
Major/Minor,Department of English Linguistics & Language Technology,A10106102,Interacting in Spoken English (2),"Brandon Robert Beamer
(Brandon Beamer)",전공,1,2,"수 1 2 (-)
(Wed 1 2 (-))"
Major/Minor,Department of English Linguistics & Language Technology,A10106103,Interacting in Spoken English (2),Shaun Justin Manning,전공,1,2,"목 1 2 (-)
(Thu 1 2 (-))"
Major/Minor,Department of English Linguistics & Language Technology,A10101101,Media English - Listening (2),"Brandon Robert Beamer
(Brandon Beamer)",전공,1,2,"월 5 6 (-)
(Mon 5 6 (-))"
Major/Minor,Department of English Linguistics & Language Technology,A10101102,Media English - Listening (2),"Brandon Robert Beamer
(Brandon Beamer)",전공,1,2,"금 1 2 (-)
(Fri 1 2 (-))"
Major/Minor,Department of English Linguistics & Language Technology,A10101103,Media English - Listening (2),Shaun Justin Manning,전공,1,2,"목 3 4 (-)
(Thu 3 4 (-))"
Major/Minor,Department of English Linguistics & Language Technology,A10102101,Media English - Reading (2),Nicholas Yohan Duvernay,전공,1,2,"화 1 2 (-)
(Tue 1 2 (-))"
Major/Minor,Department of English Linguistics & Language Technology,A10102102,Media English - Reading (2),Nicholas Yohan Duvernay,전공,1,2,"수 5 6 (-)
(Wed 5 6 (-))"
Major/Minor,Department of English Linguistics & Language Technology,A10102103,Media English - Reading (2),Nicholas Yohan Duvernay,전공,1,2,"수 1 2 (-)
(Wed 1 2 (-))"
Major/Minor,Department of English Linguistics & Language Technology,A01128301,"고급영어문법(2)
(Advanced English Grammar(2))","권익수
(Kwon, Iksoo)",전공,1,2,"수 3 4 (-)
(Wed 3 4 (-))"
Major/Minor,Department of English Linguistics & Language Technology,A01128302,"고급영어문법(2)
(Advanced English Grammar(2))","박경선
(Park, Kyung-Sun)",전공,1,2,"목 1 2 (-)
(Thu 1 2 (-))"
Major/Minor,Department of English Linguistics & Language Technology,A01128303,"고급영어문법(2)
(Advanced English Grammar(2))","김지인
(JIIN KIM)",전공,1,2,"목 5 6 (-)
(Thu 5 6 (-))"
Major/Minor,Department of English Linguistics & Language Technology,A01277201,Becoming a Great Orator (2),Robert Otto Davis,전공,2,2,"금 3 4 (-)
(Fri 3 4 (-))"
Major/Minor,Department of English Linguistics & Language Technology,A01277202,Becoming a Great Orator (2),"Max Watson
(Douglas Maxwell Watson)",전공,2,2,"목 3 4 (-)
(Thu 3 4 (-))"
Major/Minor,Department of English Linguistics & Language Technology,A01259201,Critical Reading and Writing (2),Robert Otto Davis,전공,2,2,"월 5 6 (-)
(Mon 5 6 (-))"
Major/Minor,Department of English Linguistics & Language Technology,A01259202,Critical Reading and Writing (2),"Garrett Dehond
(Garrett DeHond)",전공,2,2,"목 3 4 (-)
(Thu 3 4 (-))"
Major/Minor,Department of English Linguistics & Language Technology,A01259203,Critical Reading and Writing (2),Robert Otto Davis,전공,2,2,"금 1 2 (-)
(Fri 1 2 (-))"
Major/Minor,Department of English Linguistics & Language Technology,A10203101,"언어공학개론
(Introduction to Linguistics & Language Technology)","박정식
(Park, Jeong-Sik)",전공,2,3,"월 1 2 3 (-)
(Mon 1 2 3 (-))"
Major/Minor,Department of English Linguistics & Language Technology,A10203102,"언어공학개론
(Introduction to Linguistics & Language Technology)","박정식
(Park, Jeong-Sik)",전공,2,3,"월 7 8 9 (-)
(Mon 7 8 9 (-))"
Major/Minor,Department of English Linguistics & Language Technology,A01224301,"영국의이해
(Understanding U.K.)","정순국
(Sunkug Jung)",전공,2,2,"목 7 8 (-)
(Thu 7 8 (-))"
Major/Minor,Department of English Linguistics & Language Technology,A10202101,"영어데이터처리를위한프로그래밍(2)
(Programming for English Data Processing (2))","박정식
(Park, Jeong-Sik)",전공,2,3,"수 4 5 6 (-)
(Wed 4 5 6 (-))"
Major/Minor,Department of English Linguistics & Language Technology,A01122001,"영어학개론(2)
(Introduction to English Linguistics (2))","이성하
(Seongha Rhee)",전공,2,3,"월 1 2 3 (-)
(Mon 1 2 3 (-))"
Major/Minor,Department of English Linguistics & Language Technology,A01122002,"영어학개론(2)
(Introduction to English Linguistics (2))","김지은
(Kim, Jee Eun)",전공,2,3,"수 7 8 9 (-)
(Wed 7 8 9 (-))"
Major/Minor,Department of English Linguistics & Language Technology,A01122005,"영어학개론(2)
(Introduction to English Linguistics (2))","Brandon Robert Beamer
(Brandon Beamer)",전공,2,3,"금 7 8 9 (-)
(Fri 7 8 9 (-))"
Major/Minor,Department of English Linguistics & Language Technology,A01303201,Debating in English (2),Nicholas Yohan Duvernay,전공,3,2,"월 7 8 (-)
(Mon 7 8 (-))"
Major/Minor,Department of English Linguistics & Language Technology,A01303202,Debating in English (2),"Max Watson
(Douglas Maxwell Watson)",전공,3,2,"금 7 8 (-)
(Fri 7 8 (-))"
Major/Minor,Department of English Linguistics & Language Technology,A01307201,Journalism Reading and Writing (2),"Garrett Dehond
(Garrett DeHond)",전공,3,2,"금 3 4 (-)
(Fri 3 4 (-))"
Major/Minor,Department of English Linguistics & Language Technology,A01307202,Journalism Reading and Writing (2),"Max Watson
(Douglas Maxwell Watson)",전공,3,2,"금 5 6 (-)
(Fri 5 6 (-))"
Major/Minor,Department of English Linguistics & Language Technology,A01718301,"영어데이터분석
(English Data Analysis)","장태엽
(Tae-Yeoub Jang)",전공,3,3,"화 4 5 6 (-)
(Tue 4 5 6 (-))"
Major/Minor,Department of English Linguistics & Language Technology,A10302101,"영어데이터분석을위한통계(2)
(Statistics for English Data Analysis (2))","한영수
(HAN YOUNGSUE)",전공,3,3,"수 7 8 9 (-)
(Wed 7 8 9 (-))"
Major/Minor,Department of English Linguistics & Language Technology,A01398601,"영어사
(History of English)","김유강
(Yookang Kim)",전공,3,3,"화 4 5 6 (-)
(Tue 4 5 6 (-))"
Major/Minor,Department of English Linguistics & Language Technology,A01353901,"영어음운론
(English Phonology)","홍성훈
(Hong, Sung-Hoon)",전공,3,3,"수 1 2 3 (-)
(Wed 1 2 3 (-))"
Major/Minor,Department of English Linguistics & Language Technology,A01304801,"영어의미론
(English Semantics)","박정운
(Jeong-Woon Park)",전공,3,3,"수 7 8 9 (-)
(Wed 7 8 9 (-))"
Major/Minor,Department of English Linguistics & Language Technology,A01304802,"영어의미론
(English Semantics)","권익수
(Kwon, Iksoo)",전공,3,3,"목 7 8 9 (-)
(Thu 7 8 9 (-))"
Major/Minor,Department of English Linguistics & Language Technology,A10104104,Critical Writing(General 2),"Steve Hyok Lee
(Steve Lee)",이중(부)전공,2,2,"화 9 10 (-)
(Tue 9 10 (-))"
Major/Minor,Department of English Linguistics & Language Technology,A10104105,Critical Writing(General 2),"Garrett Dehond
(Garrett DeHond)",이중(부)전공,2,2,"금 1 2 (-)
(Fri 1 2 (-))"
Major/Minor,Department of English Linguistics & Language Technology,A10104106,Critical Writing(General 2),Shaun Justin Manning,이중(부)전공,2,2,"수 5 6 (-)
(Wed 5 6 (-))"
Major/Minor,Department of English Linguistics & Language Technology,A10103104,Intensive Reading (2),"김지인
(JIIN KIM)",이중(부)전공,2,2,"화 7 8 (-)
(Tue 7 8 (-))"
Major/Minor,Department of English Linguistics & Language Technology,A10103105,Intensive Reading (2),"조윤정(E)
(Cho, Yunjeong)",이중(부)전공,2,2,"금 5 6 (-)
(Fri 5 6 (-))"
Major/Minor,Department of English Linguistics & Language Technology,A10106104,Interacting in Spoken English (2),"Steve Hyok Lee
(Steve Lee)",이중(부)전공,2,2,"월 3 4 (-)
(Mon 3 4 (-))"
Major/Minor,Department of English Linguistics & Language Technology,A10106105,Interacting in Spoken English (2),Shaun Justin Manning,이중(부)전공,2,2,"수 1 2 (-)
(Wed 1 2 (-))"
Major/Minor,Department of English Linguistics & Language Technology,A10101104,Media English - Listening (2),"김미선
(Mi-Sun Kim)",이중(부)전공,2,2,"목 3 4 (-)
(Thu 3 4 (-))"
Major/Minor,Department of English Linguistics & Language Technology,A10101105,Media English - Listening (2),"김미선
(Mi-Sun Kim)",이중(부)전공,2,2,"목 5 6 (-)
(Thu 5 6 (-))"
Major/Minor,Department of English Linguistics & Language Technology,A10101106,Media English - Listening (2),"김미선
(Mi-Sun Kim)",이중(부)전공,2,2,"목 7 8 (-)
(Thu 7 8 (-))"
Major/Minor,Department of English Linguistics & Language Technology,A10102104,Media English - Reading (2),"김은미
(Eunmi Kim)",이중(부)전공,2,2,"금 3 4 (-)
(Fri 3 4 (-))"
Major/Minor,Department of English Linguistics & Language Technology,A10102105,Media English - Reading (2),"김은미
(Eunmi Kim)",이중(부)전공,2,2,"금 5 6 (-)
(Fri 5 6 (-))"
Major/Minor,Department of English Linguistics & Language Technology,A10102106,Media English - Reading (2),"김은미
(Eunmi Kim)",이중(부)전공,2,2,"금 7 8 (-)
(Fri 7 8 (-))"
Major/Minor,Department of English Linguistics & Language Technology,A01128304,"고급영어문법(2)
(Advanced English Grammar(2))","윤주형
(Youn, Jhu Hyoung)",이중(부)전공,2,2,"수 3 4 (-)
(Wed 3 4 (-))"
Major/Minor,Department of English Linguistics & Language Technology,A01128305,"고급영어문법(2)
(Advanced English Grammar(2))","이정은
(Lee Jung-Eun )",이중(부)전공,2,2,"월 3 4 (-)
(Mon 3 4 (-))"
Major/Minor,Department of English Linguistics & Language Technology,A01277203,Becoming a Great Orator (2),Robert Otto Davis,이중(부)전공,3,2,"수 1 2 (-)
(Wed 1 2 (-))"
Major/Minor,Department of English Linguistics & Language Technology,A01277204,Becoming a Great Orator (2),"Max Watson
(Douglas Maxwell Watson)",이중(부)전공,3,2,"월 5 6 (-)
(Mon 5 6 (-))"
Major/Minor,Department of English Linguistics & Language Technology,A01259204,Critical Reading and Writing (2),"안규동
(Ahn Kyou-Dong)",이중(부)전공,3,2,"월 1 2 (-)
(Mon 1 2 (-))"
Major/Minor,Department of English Linguistics & Language Technology,A01259205,Critical Reading and Writing (2),"Garrett Dehond
(Garrett DeHond)",이중(부)전공,3,2,"수 5 6 (-)
(Wed 5 6 (-))"
Major/Minor,Department of English Linguistics & Language Technology,A01122003,"영어학개론(2)
(Introduction to English Linguistics (2))","윤주형
(Youn, Jhu Hyoung)",이중(부)전공,3,3,"목 1 2 3 (-)
(Thu 1 2 3 (-))"
Major/Minor,Department of English Linguistics & Language Technology,A01122004,"영어학개론(2)
(Introduction to English Linguistics (2))","안규동
(Ahn Kyou-Dong)",이중(부)전공,3,3,"화 1 2 3 (-)
(Tue 1 2 3 (-))"
